Effect,Food_Name,Category
治久痔,鲫鱼羹,Gastrointestinal Issues
治肠风,鲫鱼羹,Gastrointestinal Issues
治大便常有血,鲫鱼羹,Gastrointestinal Issues
治久痔,獭肝羹,Gastrointestinal Issues
治下血不止,獭肝羹,Gastrointestinal Issues
治久痔,野猪,Gastrointestinal Issues
治野鸡病,野猪,Gastrointestinal Issues
治下血不止,野猪,Gastrointestinal Issues
治肛门肿满,野猪,Gastrointestinal Issues
治中风,羊头脍,Neurological and Mental Health
治头眩,羊头脍,Neurological and Mental Health
治羸瘦,羊头脍,General Health and Wellness
治手足无力,羊头脍,Musculoskeletal Issues
治中风,乌驴皮汤,Neurological and Mental Health
治手足不遂,乌驴皮汤,Musculoskeletal Issues
治节烦疼,乌驴皮汤,Others
治心燥,乌驴皮汤,Neurological and Mental Health
治口眼面目斜,乌驴皮汤,Others
治中风,恶实菜,Neurological and Mental Health
治燥热,恶实菜,Neurological and Mental Health
治口乾,恶实菜,Gastrointestinal Issues
治手足不遂,恶实菜,Musculoskeletal Issues
治皮肤热疮,恶实菜,General Health and Wellness
治中风,麻子粥,Neurological and Mental Health
治五脏风热,麻子粥,Neurological and Mental Health
治语言蹇涩,麻子粥,Speech-related
治手足不遂,麻子粥,Musculoskeletal Issues
治大肠滞涩,麻子粥,Gastrointestinal Issues
治中风,荆芥粥,Neurological and Mental Health
治言语蹇涩,荆芥粥,Neurological and Mental Health
治精神昏愦,荆芥粥,General Health and Wellness
治口面斜,荆芥粥,Others
治中风,葛粉羹,Neurological and Mental Health
治心脾风热,葛粉羹,Gastrointestinal Issues
治言语蹇涩,葛粉羹,Neurological and Mental Health
治精神昏愦,葛粉羹,General Health and Wellness
治手足不遂,葛粉羹,Musculoskeletal Issues
治诸中风,羊肚羹,Neurological and Mental Health
治中风,乌鸡酒,Neurological and Mental Health
治背强,乌鸡酒,Musculoskeletal Issues
治舌直不得语,乌鸡酒,Others
治目睛不转,乌鸡酒,Others
治烦热,乌鸡酒,Heat-clearing
治诸风,熊肉羹,Neurological and Mental Health
治脚气,熊肉羹,Others
治痹痛不仁,熊肉羹,Others
治五缓筋急,熊肉羹,Others
治惊风,狐肉羹,Neurological and Mental Health
治癫痫,狐肉羹,Neurological and Mental Health
治神情恍惚,狐肉羹,Neurological and Mental Health
治言语错谬,狐肉羹,Neurological and Mental Health
治歌笑无度,狐肉羹,Neurological and Mental Health
治风狂,驴肉汤,Neurological and Mental Health
治忧愁不乐,驴肉汤,Neurological and Mental Health
治安心气,驴肉汤,Others
治中风头眩,驴头羹,Neurological and Mental Health
治头眩,驴头羹,Neurological and Mental Health
治手足无力,驴头羹,Musculoskeletal Issues
治筋骨烦痛,驴头羹,Musculoskeletal Issues
治言语蹇涩,驴头羹,Neurological and Mental Health
治消渴,小麦粥,Gastrointestinal Issues
治口乾,小麦粥,Gastrointestinal Issues
治脚气,马齿菜粥,Others
治头面水肿,马齿菜粥,Others
治心腹胀满,马齿菜粥,Gastrointestinal Issues
治小便淋涩,马齿菜粥,Gastrointestinal Issues
治消渴,鲤鱼汤,Gastrointestinal Issues
治水肿,鲤鱼汤,Genitourinary Issues
治黄胆,鲤鱼汤,Others
治脚气,鲤鱼汤,Others
治小便癃闭不通,葵菜羹,Gastrointestinal Issues
治小便不通,鸡子黄,Gastrointestinal Issues
治消渴,鹁鸽羹,Gastrointestinal Issues
治饮水无度,鹁鸽羹,Others
治口乾,野鸡羹,Gastrointestinal Issues
治口乾,野鸡羹,Gastrointestinal Issues
治小便频数,野鸡羹,Gastrointestinal Issues
治消渴,萝卜粥,Gastrointestinal Issues
治舌焦,萝卜粥,Gastrointestinal Issues
治口乾,萝卜粥,Gastrointestinal Issues
治消小便数,萝卜粥,Gastrointestinal Issues
治十种水病不瘥,青鸭羹,Genitourinary Issues
治腹中水癖,黄雌鸡,Gastrointestinal Issues
治水肿,黄雌鸡,Genitourinary Issues
治水肿,肉羹,Genitourinary Issues
治浮气,肉羹,Others
治腹胀,肉羹,Gastrointestinal Issues
治小便涩少,肉羹,Gastrointestinal Issues
痢疾,牛奶子煎荜拨法,Gastrointestinal Issues
治脾胃虚弱,炙黄鸡,Gastrointestinal Issues
治下痢,炙黄鸡,Gastrointestinal Issues
治脾胃虚弱,乳饼面,Gastrointestinal Issues
治赤白泄痢,乳饼面,Gastrointestinal Issues
治泄痢,炒黄面,Gastrointestinal Issues
治肠胃不固,炒黄面,Gastrointestinal Issues
治脾胃虚弱,鲫鱼羹,Gastrointestinal Issues
治泄痢,鲫鱼羹,Gastrointestinal Issues
治虚劳,生地黄粥,General Health and Wellness
治瘦弱,生地黄粥,General Health and Wellness
治骨蒸,生地黄粥,Musculoskeletal Issues
治寒热往来,生地黄粥,Others
治咳嗽唾血,生地黄粥,Respiratory Issues
治心腹痛,桃仁粥,Gastrointestinal Issues
治上气咳嗽,桃仁粥,Respiratory Issues
治胸膈妨满,桃仁粥,Respiratory Issues
治喘急,桃仁粥,Respiratory Issues
治湿痹,鸡头粉羹,Others
治腰膝痛,鸡头粉羹,Musculoskeletal Issues
除暴疾,鸡头粉羹,Others
益精气,鸡头粉羹,General Health and Wellness
强心志,鸡头粉羹,General Health and Wellness
耳目聪明,鸡头粉羹,General Health and Wellness
治精气不足,鸡头粥,Musculoskeletal Issues
强志,鸡头粥,General Health and Wellness
明耳目,鸡头粥,Others
治心志不宁,莲子粥,General Health and Wellness
补中强志,莲子粥,Others
聪明耳目,莲子粥,General Health and Wellness
治脾胃久冷，不思饮食,牛肉脯,Gastrointestinal Issues
治心腹冷气冲胁肋痛,吴茱萸粥,Gastrointestinal Issues
治心腹冷痛,良姜粥,Gastrointestinal Issues
治脾胃虚弱,荜拨粥,Gastrointestinal Issues
心腹冷气痛,荜拨粥,Gastrointestinal Issues
治脾胃虚弱,椒面羹,Gastrointestinal Issues
治久患冷气,椒面羹,Gastrointestinal Issues
治心腹结痛,椒面羹,Gastrointestinal Issues
治虚弱骨蒸,生地黄粥,General Health and Wellness
治四肢无力,生地黄粥,General Health and Wellness
治心烦不得睡卧,生地黄粥,General Health and Wellness
治虚劳,酸枣粥,General Health and Wellness
治心烦,酸枣粥,General Health and Wellness
治虚劳,山药粥,General Health and Wellness
治骨蒸,山药粥,Musculoskeletal Issues
治久冷,山药粥,General Health and Wellness
治诸虚,山药,General Health and Wellness
治五劳七伤,山药,General Health and Wellness
治心腹冷痛,山药,Gastrointestinal Issues
治骨髓伤败,山药,General Health and Wellness
治虚弱,醍醐酒,General Health and Wellness
去风湿,醍醐酒,Neurological and Mental Health
治虚弱,乌鸡汤,General Health and Wellness
治劳伤,乌鸡汤,General Health and Wellness
治心腹邪气,乌鸡汤,Gastrointestinal Issues
治虚弱,狐肉汤,General Health and Wellness
治五藏邪气,狐肉汤,General Health and Wellness
治肾虚弱,黑牛髓煎,Gastrointestinal Issues
治骨伤败,黑牛髓煎,General Health and Wellness
治瘦弱无力,黑牛髓煎,General Health and Wellness
治卒患腰痛,鹿角酒,Musculoskeletal Issues
治诸风,鹿蹄汤,Neurological and Mental Health
治诸虚,鹿蹄汤,General Health and Wellness
治腰脚疼痛,鹿蹄汤,Musculoskeletal Issues
治肾虚衰弱,羊肉羹,Gastrointestinal Issues
治腰脚无力,羊肉羹,Musculoskeletal Issues
治肾虚,鹿肾羹,Gastrointestinal Issues
治耳聋,鹿肾羹,Others
治阳气衰败,枸杞羊肾粥,Heat-clearing
治腰脚疼痛,枸杞羊肾粥,Musculoskeletal Issues
治五劳七伤,枸杞羊肾粥,General Health and Wellness
治肾虚劳损,猪肾粥,Gastrointestinal Issues
治腰膝无力,猪肾粥,Musculoskeletal Issues
治疼痛,猪肾粥,Others
治虚劳,白羊肾羹,General Health and Wellness
治阳道衰败,白羊肾羹,Others
治腰膝无力,白羊肾羹,Musculoskeletal Issues
治下元久虚,羊脊骨粥,General Health and Wellness
治腰肾伤败,羊脊骨粥,Gastrointestinal Issues
治虚劳,羊骨粥,General Health and Wellness
治腰膝无力,羊骨粥,Musculoskeletal Issues
治肾虚劳损,羊藏羹,Gastrointestinal Issues
治骨髓伤败,羊藏羹,General Health and Wellness
治虚劳,羊蜜膏,General Health and Wellness
治腰痛,羊蜜膏,Musculoskeletal Issues
治咳嗽,羊蜜膏,Respiratory Issues
治肺痿,羊蜜膏,Respiratory Issues
治骨蒸,羊蜜膏,Musculoskeletal Issues
治腰背疼痛,生地黄鸡,Musculoskeletal Issues
治骨髓虚损,生地黄鸡,General Health and Wellness
治不能久立,生地黄鸡,General Health and Wellness
治身重气乏,生地黄鸡,General Health and Wellness
治盗汗,生地黄鸡,General Health and Wellness
治少食，时复吐利,生地黄鸡,General Health and Wellness
治卒患腰眼疼痛者,炙羊腰,Musculoskeletal Issues
治心气惊悸，郁结不乐,炙羊心,General Health and Wellness
治元脏虚冷,撒速汤,General Health and Wellness
治腹内冷痛,撒速汤,Gastrointestinal Issues
治腰脊酸疼,撒速汤,Musculoskeletal Issues
补中益气,河西米汤粥,General Health and Wellness
补中益气,粱米淡粥,General Health and Wellness
补脾胃,汤粥,Gastrointestinal Issues
补益肾气,汤粥,Gastrointestinal Issues
补脾胃,乞马粥,Gastrointestinal Issues
益气力,乞马粥,General Health and Wellness
补中益气,搠罗脱因,General Health and Wellness
补中益气,马乞,General Health and Wellness
补中益气,水龙子,General Health and Wellness
补中益气,细水滑,General Health and Wellness
补中益气,秃秃麻食,General Health and Wellness
补中益气,羊皮面,General Health and Wellness
补中益气,经带面,General Health and Wellness
补中益气,挂面,General Health and Wellness
补虚羸,山药面,General Health and Wellness
益元气,山药面,General Health and Wellness
补中益气,皂羹面,General Health and Wellness
补中益气,春盘面,General Health and Wellness
补益五脏,围像,General Health and Wellness
治虚弱,炒野狼汤,General Health and Wellness
治黄胆,鲤鱼汤,Others
止渴,鲤鱼汤,Gastrointestinal Issues
安胎,鲤鱼汤,Others
治风痹不仁,熊汤,Neurological and Mental Health
治香港脚,熊汤,Others
补中益气,台苗羹,General Health and Wellness
补中益气,盏蒸,General Health and Wellness
主伤中,团鱼汤,Others
益气，补不足,团鱼汤,Musculoskeletal Issues
性寒,瓠子汤,Others
消渴，利水道,瓠子汤,Gastrointestinal Issues
顺气,葵菜羹,General Health and Wellness
治癃闭不通,葵菜羹,Others
补中益气,三下锅,General Health and Wellness
补中益气,黄汤,General Health and Wellness
补中益气,珍珠粉,General Health and Wellness
补中益气,荤素羹,General Health and Wellness
补中益气,杂羹,General Health and Wellness
补中益气,鸡头粉馄饨,General Health and Wellness
补中,鸡头粉粉,General Health and Wellness
补中,鸡头粉撅面,General Health and Wellness
补中,鸡头粉血粉,General Health and Wellness
补中,鸡头粉雀舌子,General Health and Wellness
益精气,鸡头粉粉,General Health and Wellness
益精气,鸡头粉撅面,General Health and Wellness
益精气,鸡头粉血粉,General Health and Wellness
益精气,鸡头粉雀舌子,General Health and Wellness
补中益气,阿菜汤,General Health and Wellness
补中益气,河羹,General Health and Wellness
补中益气,糯米粉粉,General Health and Wellness
补中益气,大麦片粉,General Health and Wellness
健脾胃,大麦片粉,Gastrointestinal Issues
补中益气,大麦算子粉,General Health and Wellness
健脾胃,大麦算子粉,Gastrointestinal Issues
补中益气,粆汤,General Health and Wellness
健脾胃,粆汤,Gastrointestinal Issues
补中益气,松黄汤,General Health and Wellness
壮筋骨,松黄汤,Musculoskeletal Issues
补益,鹿头汤,General Health and Wellness
止烦渴,鹿头汤,Gastrointestinal Issues
治脚膝疼痛,鹿头汤,Others
补中,木瓜汤,General Health and Wellness
顺气,木瓜汤,General Health and Wellness
治腰膝疼痛,木瓜汤,Musculoskeletal Issues
脚气不仁,木瓜汤,Others
补下元,苦豆汤,General Health and Wellness
理腰膝,苦豆汤,Musculoskeletal Issues
温中,苦豆汤,General Health and Wellness
顺气,苦豆汤,General Health and Wellness
补中,沙乞某儿汤,General Health and Wellness
下气,沙乞某儿汤,Others
和脾胃,沙乞某儿汤,Gastrointestinal Issues
补中,八儿不汤,General Health and Wellness
下气,八儿不汤,Others
宽胸膈,八儿不汤,Respiratory Issues
温中下气,大麦汤,General Health and Wellness
温壮脾胃,大麦汤,Gastrointestinal Issues
温止烦渴,大麦汤,Gastrointestinal Issues
破冷气,大麦汤,Others
去腹胀,大麦汤,Gastrointestinal Issues
补益,马思吉汤,General Health and Wellness
温中,马思吉汤,General Health and Wellness
顺气,马思吉汤,General Health and Wellness
治五劳七伤,米哈讷关列孙,General Health and Wellness
治藏气虚冷,米哈讷关列孙,General Health and Wellness
补中益气,米哈讷关列孙,General Health and Wellness
利血脉，益经气,颇儿必汤,Others
补精髓,牛髓膏子,General Health and Wellness
壮筋骨,牛髓膏子,Musculoskeletal Issues
和血气,牛髓膏子,Others
延年益寿,牛髓膏子,General Health and Wellness
宽中顺气,橙香饼儿,General Health and Wellness
清利头目,橙香饼儿,Others
清头目,答必纳饼儿,Others
利咽膈,答必纳饼儿,Respiratory Issues
生津止渴,答必纳饼儿,Gastrointestinal Issues
治嗽,答必纳饼儿,Respiratory Issues
生津,官桂渴忒饼儿,Gastrointestinal Issues
止寒嗽,官桂渴忒饼儿,Respiratory Issues
生津止渴,渴忒饼儿,Gastrointestinal Issues
治嗽,渴忒饼儿,Respiratory Issues
治酒醉不解,橘皮醒酲汤,Others
治呕噫吞酸,橘皮醒酲汤,Others
治脚气不仁,木瓜汤,Others
治膝劳冷痹疼痛,木瓜汤,General Health and Wellness
治中热,白梅汤,Heat-clearing
治五心烦躁,白梅汤,Heat-clearing
治霍乱呕吐,白梅汤,Others
治乾渴,白梅汤,Gastrointestinal Issues
治津液不通,白梅汤,Others
治元藏虚弱,破气汤,General Health and Wellness
治腹痛,破气汤,Gastrointestinal Issues
治胸膈闭闷,破气汤,Respiratory Issues
治元藏虚弱,茴香汤,General Health and Wellness
治脐腹冷痛,茴香汤,Gastrointestinal Issues
和脾胃,枣姜汤,Gastrointestinal Issues
进饮食,枣姜汤,Others
治腹内冷痛,四和汤,Gastrointestinal Issues
治脾胃不和,四和汤,Gastrointestinal Issues
补虚益气,山药汤,General Health and Wellness
温中润肺,山药汤,Respiratory Issues
调顺肺气,杏霜汤,Respiratory Issues
利胸膈,杏霜汤,Respiratory Issues
治咳嗽,杏霜汤,Respiratory Issues
去一切不正之气,仙术汤,Others
温脾胃,仙术汤,Gastrointestinal Issues
进饮食,仙术汤,Others
辟瘟疫,仙术汤,Others
除寒湿,仙术汤,Others
顺气,人参汤,General Health and Wellness
开胸膈,人参汤,Respiratory Issues
止渴生津,人参汤,Gastrointestinal Issues
生津止渴，暖精益气,五味子汤,Gastrointestinal Issues
生津止渴,梅子丸,Gastrointestinal Issues
解化酒毒,梅子丸,Others
去湿,梅子丸,Others
生津止渴,荔枝膏,Gastrointestinal Issues
去烦,荔枝膏,Others
去湿逐饮,桂沉浆,Others
生津止渴,桂沉浆,Gastrointestinal Issues
顺气,桂沉浆,General Health and Wellness
生津止渴,桂浆,Gastrointestinal Issues
益气和中,桂浆,General Health and Wellness
去湿逐饮,桂浆,Others
