Food_Name,Effect,Ingredients,Steps
马思吉汤, 补益身体，温和胃肠，顺畅气血。,羊肉 一脚子，卸成事件  草果 五个  官桂 二钱  回回豆子 半升，捣碎，去皮,上述食材，一同煮成汤，煮熟后过滤，再加入熟的回回豆子2合，香粳米1升，马思答吉1钱，少许盐，搅拌均匀，再加入熟肉和芫荽叶。
大麦汤, 温和胃肠，增强脾胃功能，缓解烦躁口渴，驱散寒冷，减轻腹胀。,羊肉 一脚子，卸成事件  草果 五个  大麦仁 二升，滚水淘洗净，微煮熟,上述食材，煮成汤，滤净，再加入大麦仁，煮熟，少许盐，搅拌均匀，再加入肉。
八儿不汤, 被称为西天茶饭。滋补脾胃，舒缓下腹不适，畅通胸膈之间的气息。,羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，捣碎，去皮  萝卜 二个,上述食材，一同煮成汤，煮熟后过滤，然后加入切成块状的羊肉、熟萝卜块、咱夫兰1钱、姜黄2钱、胡椒2钱、哈昔泥半钱、芫荽叶和少许盐，搅拌均匀，然后可以搭配香粳米干饭，也可以加入少量醋。
沙乞某儿汤, 增补脾胃功能，调和消化系统。,羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，捣碎，去皮  沙乞某儿 五个，系蔓菁,上述食材，一同煮成汤，煮熟后过滤，再加入熟的回回豆子2合，香粳米1升。再加入切成块状的熟沙乞某儿，少许盐，搅拌均匀。
苦豆汤, 增益下元之气，调理腰膝不适，温和胃肠，促进气血顺畅。,羊肉 一脚子，卸成事件  草果 五个  苦豆 一两，系葫芦巴。,上述食材，一同煮成汤，煮熟后过滤，然后加入河西兀麻食或米心子，哈昔泥半钱，少许盐，搅拌均匀。
木瓜汤, 调理脾胃，促进气血通畅，治疗腰膝疼痛及脚部不适。,羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，捣碎，去皮,上述食材，一同煮成汤，煮熟后过滤，再加入香粳米1升，熟回回豆子2合，肉弹儿木瓜2斤，取汁，沙糖4两，少许盐，搅拌均匀，或者加入熟肉。
鹿头汤, 补养身体，缓解烦躁口渴，治疗脚膝疼痛。,鹿头蹄 一副，退洗净，卸作块,上述食材，将哈昔泥研成泥状，与鹿头蹄肉一同拌匀，再用回回小油4两炒，加入滚水煮至软烂，再加入胡椒3钱、哈昔泥2钱、荜拨1钱、牛奶子1盏、生姜汁1合，少许盐，搅拌均匀。另一种方法是用鹿尾提取汁，然后加入姜末和少许盐，搅拌均匀。
松黄汤, 增补脾胃功能，强健筋骨。,羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，捣碎，去皮,上述食材，一同煮成汤，煮熟后过滤，再加入熟羊胸子1个，切成块状，松黄汁2合，生姜汁半合，搅拌均匀，再加入葱、盐、醋和芫荽叶，搅拌匀后用来搭配经卷。
粆汤, 增益脾胃之气，促进脾胃健康。,羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，去皮,上述食材，一同煮成汤，煮熟后过滤，再加入熟的乾羊胸子1个，切成片，粆3升，以及白菜或荨麻菜，搅拌均匀，加入少许盐。
大麦算子粉, 增益脾胃之气，促进脾胃健康。,羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，去皮,上述食材，一同煮成汤，煮熟后过滤，再加入大麦粉3斤，豆粉1斤，混合成粉。然后将羊肉切细，炒熟，再加入生姜汁2合、芫荽叶、盐和醋，搅拌均匀。
大麦片粉, 增益脾胃之气，促进脾胃健康。,羊肉 一脚子，卸成事件  草果 五个  良姜 二钱,上述食材，一同煮成汤，煮熟后过滤，再加入羊肝酱，取清汁，再加入胡椒5钱，熟羊肉切成块，糟姜2两，瓜齑1两，切成块，加入少许盐和醋，或者可以加入浑汁。
糯米粉粉, 增益脾胃之气。,羊肉 一脚子，卸成事件  草果 五个  良姜 二钱,上述食材，一同煮成汤，煮熟后过滤，再用羊肝酱熬制取清汁，再加入胡椒5钱，糯米粉2斤，豆粉1斤，混合成粉，然后将羊肉切细，炒熟，加入盐和醋，也可以加入浑汁。
河羹, 增益脾胃之气。,羊肉 一脚子，卸成事件  草果 五个,上述食材，一同煮成汤，煮熟后过滤，再加入羊肉切成细块，陈皮5钱，去皮，葱2两，切细，料物2钱，盐、酱拌匀，皮用白面3斤，制成饺子皮，然后用小油炸熟，加入汤中，加入盐搅拌均匀，或者可以加入清汁。
阿菜汤, 增益脾胃之气。,羊肉 一脚子，卸成事件  草果 五个  良姜 二钱,上述食材，一同煮成汤，煮熟后过滤，再加入羊肝酱，取清汁，加入胡椒5钱。另外，切片的羊肉、羊尾子、羊舌和羊腰子，蘑菇半斤，白菜，一同下锅，加入清汁、盐和醋，搅拌均匀。
鸡头粉雀舌子, 增补脾胃功能，滋养精气。,羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，捣碎，去皮,上述食材，一同煮成汤，煮熟后过滤，再加入鸡头粉2斤，豆粉1斤，混合成粉，然后切成块状，羊肉切成细块，加入生姜汁1合，炒葱，搅拌均匀。
鸡头粉血粉, 增补脾胃功能，滋养精气。,羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，捣碎，去皮,上述食材，一同煮成汤，煮熟后过滤，再加入鸡头粉2斤，豆粉1斤，羊血和作粉，羊肉切成细块，加入葱和醋，搅拌均匀。
鸡头粉撅面, 增补脾胃功能，滋养精气。,羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，捣碎，去皮,上述食材，一同煮成汤，煮熟后过滤，再加入鸡头粉2斤，豆粉1斤，白面1斤，混合成面粉。然后将羊肉切成片，煎饼状，再切成块，加入葱和醋，搅拌均匀。
鸡头粉粉, 增补脾胃功能，滋养精气。,羊肉 一脚子，卸成事件  草果 五个  良姜 二钱,上述食材，一同煮成汤，煮熟后过滤，再加入羊肝酱，取清汁，加入胡椒1两，然后再用鸡头粉2斤，豆粉1斤，混合成粉，将羊肉切成细块，加入盐和醋，也可以加入浑汁。
鸡头粉馄饨, 增益脾胃之气。,羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，捣碎，去皮,上述食材，将羊肝切成馅，加入陈皮1钱，去白，生姜1钱，切细，然后加入五味调匀。接着用鸡头粉2斤，豆粉1斤，制成枕头馄饨，将馄饨加入汤中，再加入香粳米1升，回回豆子2合，生姜汁2合，木瓜汁1合，搅拌均匀，然后加入葱和盐，搅拌均匀。
杂羹, 增益脾胃之气。,羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，捣碎，去皮,上述食材，一同煮成汤，煮熟后过滤，然后加入羊头，切成块，羊肚、肺各2具，羊白血双肠儿1副，都煮熟后切块，然后再加入豆粉3斤，制成片粉，蘑菇半斤，杏泥半斤，胡椒1两，加入台子菜、韭菜、葱、盐和醋，搅拌均匀。
荤素羹, 增益脾胃之气。,羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，捣碎，去皮,上述食材，一同煮成汤，煮熟后过滤，再加入豆粉3斤，制成片粉，羊肉切成条状，山药1斤，糟姜2块，瓜齑1块，乳饼1个，胡萝卜10个，蘑菇半斤，生姜4两，都切成块状，鸡子10个，制成煎饼，再切块，用麻泥1斤，杏泥半斤，搅拌均匀，加入葱、盐和醋。
珍珠粉, 增益脾胃之气。,羊肉 一脚子，卸成事件  草果 五个   回回豆子 半升，捣碎，去皮,上述食材，一同煮成汤，煮熟后过滤，然后加入羊肉切成块，心、肝、肚、肺各1具，生姜2两，糟姜4两，瓜齑1两，胡萝卜10个，山药1斤，乳饼1个，鸡子10个，制成煎饼，都切成块，然后再加入麻泥1斤，搅拌均匀，加入葱、盐和醋。
黄汤, 增益脾胃之气。,羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，捣碎，去皮,上述食材，一同煮成汤，煮熟后过滤，再加入熟的回回豆子2合，香粳米1升，胡萝卜5个，切块，用羊后脚肉丸肉弹儿，肋枝1个，切块，寸金姜黄3钱，姜末5钱，咱夫兰1钱，芫荽叶，盐和醋，搅拌均匀。
三下锅, 增益脾胃之气。,羊肉 一脚子，卸成事件  草果 五个  良姜 二钱,上述食材，一同煮成汤，煮熟后过滤，再加入用羊后脚肉丸肉弹儿、丁头子、羊肉指甲匾食，胡椒1两，盐和醋，搅拌均匀。
葵菜羹, 促进气血顺畅。治疗尿潴留不通。性质寒凉，不宜过量食用。现今与其他成分混合制作，性质稍微温和。,羊肉 一脚子，卸成事件  草果 五个  良姜 二钱,上述食材，一同煮成汤，熟羊肚、肺各1具，切块，蘑菇半斤，切块，胡椒5钱，白面1斤，拌鸡爪面，再加入葵菜炒，葱、盐和醋，搅拌均匀。
瓠子汤, 性质寒凉。主治口渴，促进排尿。,羊肉 一脚子，卸成事件  草果 五个,上述食材，一同熬制成汤，过滤干净。然后，取六个瓠子，去皮，切成薄片。再取熟羊肉，切成片。加入生姜汁半碗，白面两两，炒成面丝，最后，加入葱、盐、醋，搅拌均匀。
团鱼汤, 主治中焦损伤，增益气血，弥补不足。,羊肉 一脚子，卸成事件  草果 五个,上述食材，熬制成汤，过滤干净。再取五六只团鱼，煮熟，去皮和骨，切成块。用二两面粉制成面丝。加入生姜汁一碗，一两胡椒，炒匀。最后，加入葱、盐和醋，搅拌均匀。
盏蒸, 增益脾胃之气。,羊背皮或羊肉 三脚子，卸成事件  草果 五个  良姜 二钱  陈皮 二钱，去白 小椒二钱,上述食材，取一斤杏泥，二合松黄，两合生姜汁，混合炒匀。加入葱、盐等五味，蒸软后卷成卷儿，用作点心。
台苗羹, 增益脾胃之气。,羊肉 一脚子，卸成事件  草果 五个  良姜 二钱,上述食材，熬制成汤，过滤干净。再取清汁，加入五斤豆粉，制成粉。再加入乳饼一个，一斤山药，十个胡萝卜，一个羊尾子，羊肉等切成细块，加入台子菜、韭菜和一两胡椒。最后，加入盐和醋，搅拌均匀。
熊汤, 治疗风湿性关节痛，香港脚。,熊 肉 二脚子，煮熟，切块  草果 三个,上述食材，使用三钱胡椒、一钱哈昔泥、两钱姜黄、两钱缩砂、一钱咱夫兰、葱、盐和酱混合均匀。
鲤鱼汤, 治疗黄疸，缓解口渴，孕妇可食用。有宿瘕者不宜食用。,大新鲤鱼 十头，去鳞肚，洗净  小椒末 五钱,上述食材，使用五钱芫荽末、两两葱，少许酒，少许盐淹渍，拌入清汁，然后下鱼，接着下胡椒末五钱、生姜末三钱、荜拨末三钱、盐和醋，搅拌均匀。
炒野狼汤, 古代草书未记载野狼肉。现认为性质热，可治愈虚弱。尽管有毒的传闻，但今天制作中加入其他成分，使其更有滋味，可温养五脏，促进胃肠消化。,野狼肉 一脚子，卸成事件  草果 三个  胡椒 五钱  哈昔泥 一钱  荜拨 二钱  缩砂 二钱  姜黄 二钱  咱夫兰 一钱,上述食材，熬制成汤，然后加入葱、酱、盐和醋混合均匀。
围像, 增益五脏之气。,羊肉 一脚子，煮熟，切细  羊尾子 二个，熟，切细  藕 二枚  蒲笋 二斤 黄瓜 五个  生姜 半斤   乳饼 二个  糟姜 四两  瓜齑 半斤  鸡子 一十个，煎作饼  蘑菇 一斤  蔓菁菜 韭菜 各切条道,上述食材，用好的肉汤，炒麻泥二斤和姜末半斤，一起炒熟。然后加入葱、盐、醋，混合均匀，用于夹馍食之。
春盘面, 增益脾胃之气。,白面 六斤，切细面  羊肉 二脚子，煮熟，切条道乞马  羊肚肺 各一个，煮熟切  鸡子 五个，煎作饼，裁幡  生姜 四两，切 韭黄（半斤  蘑菇 四两  台子菜 蓼牙胭脂,上述食材，用清汁，加入胡椒一两，盐和醋，混合均匀。
皂羹面, 增益脾胃之气。,白面 六斤，切细面  羊胸子 二个，退洗净，煮熟，切如色数块,上述食材，用红曲三钱淹拌，熬至软化，然后加入清汁，再下胡椒一两、盐和醋，混合均匀。
山药面, 补养虚弱，壮益元气。,白面 六斤  鸡子 十个，取白  生姜汁 二合  豆粉 四两,上述食材，使用三斤山药，煮熟，捣成泥，然后与面粉混合。再加入两脚羊肉丁和好肉汤炒，最后加入葱、盐，混合均匀。
挂面, 增益脾胃之气。,羊肉 一脚子，切细乞马  挂面 六斤  蘑菇 半斤，洗净，切  鸡子 五个，煎作饼  糟姜 一两，切  瓜齑 一两，切,上述食材，用清汁，下胡椒一两、盐和醋，混合均匀。
经带面, 增益脾胃之气。,羊肉 一脚子，炒焦肉乞马  蘑菇 半斤，洗净，切,上述食材，用清汁，下胡椒一两、盐和醋，混合均匀。
羊皮面, 增益脾胃之气。,羊皮 二个， 洗净，煮软  羊舌 二个，熟 羊腰子四个，熟，各切如甲叶  蘑菇 一斤，洗净  糟姜 四两，各切如甲叶,上述食材，用好的肉汤或清汁，下胡椒一两、盐和醋，混合均匀。
秃秃麻食, 用手抓面，制作此食物，增益脾胃之气。,白面 六斤、作秃秃麻食  羊肉 一脚子，炒焦肉乞马,上述食材，用好的肉汤炒葱，混合均匀，然后加入蒜酪和香菜末。
细水滑, 用绢布包裹，浸泡在水中，一同制作，增益脾胃之气。,白面 六斤，作水滑  羊肉 二脚子，炒焦肉乞马  鸡儿 一个，熟，切丝  蘑菇 半斤，洗净，切,上述食材，用清汁，下胡椒一两、盐和醋，混合均匀。
水龙子, 增益脾胃之气。,羊肉 二脚子，熟，切作乞马  白面 六斤，切作钱眼 子  鸡子 十个  山药 一斤 糟姜 四两  胡萝卜 五个  瓜齑 二两，各切细  三色弹儿 内一色肉弹儿，外二色粉，鸡子弹儿,上述食材，用清汁，下胡椒二两、盐和醋，混合均匀。
马乞, 用手揉面团，或者使用糯米粉，鸡头粉亦可，增益脾胃之气。,白面 六斤，作乞马  羊肉 二脚子，熟，切乞马,上述食材，用好的酽肉汤或清汁，炒，然后加入葱、醋、盐混合均匀。
搠罗脱因," 用""畏兀儿茶饭""的方法制作，增益脾胃之气。",白面 六斤，和，按作钱样  羊肉 二脚子，熟切  羊舌 二个，熟切  山药 一斤  蘑菇 半斤  胡萝卜 五个  糟姜 四两，切,上述食材，用好的酽肉汤炒，然后加入葱、醋、盐混合均匀。
乞马粥, 增益脾胃，增强体力。,羊肉 一脚子，卸成事件，熬成汤，滤净  粱米 二升，淘洗净,上述食材，用肉切碎，先下面汤，再加入肉、面、葱、盐，熬成粥，可以用圆米、折米或渴米。
汤粥, 增益脾胃，壮益肾气。,羊肉 一脚子，卸成事件,上述食材，先熬成汤，过滤干净，接着加入粱米三升，煮成粥，再下米、葱、盐，或者下圆米、渴米、折米都可以。
粱米淡粥, 增益脾胃之气。,粱米 二升,右边的食材首先将水烧开，澄清，然后过滤，接着将米洗涤三到五次，熬成粥，也可以下圆米、渴米、折米。
河西米汤粥, 增益脾胃之气。,羊肉 一脚子，卸成事件  河西米 二升,右边的食材熬成汤，过滤干净，下河西米，洗净，接着加入细乞马、米、葱、盐，一同熬成粥，或者不用乞马也可以。
撒速汤," 以""西天茶饭""为名，治疗元脏虚弱，腹部内部寒冷引发的疼痛，腰脊酸痛。",羊肉 二脚子，头蹄一副  草果 四个  官桂 三两  生姜 半斤  哈昔泥 如回回豆子两个大,上述食材，用一铁锅的水熬成汤，放入石头锅内，然后加入一斤石榴子，两两胡椒，少许盐，炸石榴子时用一勺小油，将哈昔泥炸成豌豆大小，颜色微黑，将汤上的油去掉，澄清后，用甲香、甘松、哈昔泥和酥油烧烟，装入瓶中，封存。
炙羊心, 治疗心气惊悸，情绪郁结，不快乐。,羊心 一个，带系桶  咱夫兰 三钱,上述食材，用一杯玫瑰水浸泡取汁，加入少许盐，用签子签鲜羊心，然后在火上炙烤，将咱夫兰汁慢慢涂抹在羊心上，涂抹至汁尽，然后食用。这道菜能安宁心情，让人心情愉快。
炙羊腰, 治疗突发的腰眼疼痛。,羊腰 一对  咱夫兰 一钱,上述食材，用一勺玫瑰水浸泡取汁，加入少许盐，用签子签鲜羊腰子，然后在火上炙烤，将咱夫兰汁慢慢涂抹在腰子上，涂抹至汁尽，然后食用。非常有效。
攒鸡儿,,肥鸡儿 十个， 洗净，熟切攒  生姜汁 一合  葱 二两，切  姜末 半斤  小椒末 四两  面 二两，作面丝,上述食材，用煮熟的鸡儿汤炒制，然后加入葱、醋，混合均匀。
炒鹌鹑,,鹌鹑 二十个，切成事件  萝卜 二个，切  姜末 四两  羊尾子 一个，各切如色数  面 二两，作面丝,上述食材，用煮熟的鹌鹑汤炒制，然后加入葱、醋，混合均匀。
盘兔,,兔儿 二个，切作事件  萝卜 二个，切  羊尾子 一个，切 片  细料物 二钱,上述食材，用炸法制作，然后加入葱、醋，混合均匀，再加入面丝两两，混合均匀。
河西肺,,羊肺 一个  韭 六斤，取汁  面 二斤，打糊  酥油 半斤  胡椒 二两  生姜汁 二合,上述食材，用盐调味，灌入肺内，煮熟，用汁浇在上面。
姜黄腱子,,羊腱子 一个，熟  羊肋枝 二个，截作长块  豆粉 一斤  白面 一斤  咱夫兰 二钱  栀子 五钱,上述食材，用盐、料物混合，涂抹在腱子上，然后炸制。
鼓儿签子,,羊肉 五斤，切细  羊尾子 一个，切细  鸡子 十五个  生姜 二钱  葱 二两，切  陈皮 二钱，去白  料物 三钱,上述食材，混合均匀，填充在羊白肠内，煮熟后切成鼓状，再用豆粉一斤、白面一斤、咱夫兰一钱、栀子三钱的汁混合，拌在鼓内，然后小油炸。
带花羊头,,羊头 三个，熟切  羊腰 四个  羊肚肺 各一具，煮熟切，攒胭脂染  生姜 四两  糟姜 二两，各切  鸡子 五个，作花样  萝卜 三个，作花样,上述食材，用好的肉汤炒制，然后加入葱、盐、醋，混合均匀。
鱼弹儿,,大鲤鱼 十个，去皮、骨、头、尾  羊尾子 二个，同剁为泥  生姜 一两，切细 葱 二两，切细  陈皮末 三钱  胡椒末 一两  哈昔泥 二钱,上述食材，下盐，混合在鱼肉中，制成丸子，然后用小油炸。
芙蓉鸡,,鸡儿 十个，熟攒 羊肚、肺 各一具，熟切  生姜 四两，切  胡萝卜 十个，切 鸡子 二十个，煎作饼，刻花样  赤根 芫荽 打糁  胭脂 栀子 染  杏泥 一斤,上述食材，使用美味的肉汤炒煮，然后加入葱和醋搅拌均匀。
派饼儿,,精羊肉 十斤，去脂膜筋，捶为泥  哈昔泥 三钱  胡椒 二两  荜拨 一两  芫荽末 一两,上述食材，用盐混合均匀，制成捻饼，然后用小油炸。
盐肠,,羊苦 肠水洗净,上述食材，用盐调味，晾干后，再用小油炸。
脑瓦剌,,熟羊胸子 二个，切薄片  鸡子 二十个，熟,
